# Wiktionary	vie	http://wiktionary.org/	CC BY-SA
03989074-n	vie:lemma	thư	
03991062-n	vie:lemma	chậu	
03991062-n	vie:lemma	hoa	
03996655-n	vie:lemma	trạm	
03996655-n	vie:lemma	phát	
03996655-n	vie:lemma	điện	
03996655-n	vie:lemma	nhà	
03996655-n	vie:lemma	máy	
03996655-n	vie:lemma	điện	
04005630-n	vie:lemma	ngục	
04011827-n	vie:lemma	cánh	
04011827-n	vie:lemma	quạt	
04012482-n	vie:lemma	động	
04012482-n	vie:lemma	cơ	
04012482-n	vie:lemma	tuabin	
04012482-n	vie:lemma	cánh	
04012482-n	vie:lemma	quạt	
04021028-n	vie:lemma	áo	
04021028-n	vie:lemma	len	
04021028-n	vie:lemma	có	
04021028-n	vie:lemma	nón	
04021028-n	vie:lemma	áo	
04021028-n	vie:lemma	len	
04021028-n	vie:lemma	chui	
04021028-n	vie:lemma	đầu	
04021798-n	vie:lemma	bơm	
04027023-n	vie:lemma	nút	
04027023-n	vie:lemma	bấm	
04027023-n	vie:lemma	cái	
04027023-n	vie:lemma	nút	
04027023-n	vie:lemma	bấm	
04033082-n	vie:lemma	ke	
04033082-n	vie:lemma	bờ	
04033082-n	vie:lemma	xây	
04043733-n	vie:lemma	máy	
04043733-n	vie:lemma	radio	
04043733-n	vie:lemma	máy	
04043733-n	vie:lemma	ra-đi-ô	
04043733-n	vie:lemma	máy	
04043733-n	vie:lemma	thu	
04043733-n	vie:lemma	thanh	
04048568-n	vie:lemma	đường	
04048568-n	vie:lemma	sắt	
04049098-n	vie:lemma	nhà	
04049098-n	vie:lemma	ga	
04049098-n	vie:lemma	nhà	
04049098-n	vie:lemma	ga	
04049098-n	vie:lemma	hành	
04049098-n	vie:lemma	khách	
04049098-n	vie:lemma	ga	
04070727-n	vie:lemma	tủ	
04070727-n	vie:lemma	ướp	
04070727-n	vie:lemma	lạnh	
04070727-n	vie:lemma	tủ	
04070727-n	vie:lemma	lạnh	
04081281-n	vie:lemma	quán	
04081281-n	vie:lemma	ăn	
04081281-n	vie:lemma	tiệm	
04081281-n	vie:lemma	ăn	
04085017-n	vie:lemma	số	
04085017-n	vie:lemma	de	
04087899-n	vie:lemma	dai	
04087899-n	vie:lemma	đất	
04087899-n	vie:lemma	mảnh	
04090263-n	vie:lemma	súng	
04090263-n	vie:lemma	trường	
04092609-n	vie:lemma	nhẫn	
04092609-n	vie:lemma	cà	
04092609-n	vie:lemma	rá	
04096066-n	vie:lemma	đường	
04099429-n	vie:lemma	rốc	
04099429-n	vie:lemma	két	
04105068-n	vie:lemma	mái	
04105068-n	vie:lemma	nhà	
04105893-n	vie:lemma	buồng	
04105893-n	vie:lemma	phòng	
04108268-n	vie:lemma	dây	
04109335-n	vie:lemma	tràng	
04109335-n	vie:lemma	hạt	
04118021-n	vie:lemma	tấm	
04118021-n	vie:lemma	thảm	
04118776-n	vie:lemma	cây	
04118776-n	vie:lemma	thước	
04118776-n	vie:lemma	cái	
04118776-n	vie:lemma	thước	
04118776-n	vie:lemma	kẻ	
04120842-n	vie:lemma	đường	
04120842-n	vie:lemma	băng	
04127904-n	vie:lemma	buồm	
04128837-n	vie:lemma	thuyền	
04128837-n	vie:lemma	buồm	
04133789-n	vie:lemma	dép	
04133789-n	vie:lemma	dép	
04133789-n	vie:lemma	quai	
04133789-n	vie:lemma	hậu	
04137444-n	vie:lemma	vệ	
04137444-n	vie:lemma	tinh	
04137444-n	vie:lemma	衛星	
04138977-n	vie:lemma	cái	
04138977-n	vie:lemma	soong	
04138977-n	vie:lemma	cái	
04138977-n	vie:lemma	nồi	
04138977-n	vie:lemma	cái	
04138977-n	vie:lemma	chảo	
04140064-n	vie:lemma	cưa	
04140064-n	vie:lemma	cái	
04140064-n	vie:lemma	cưa	
04141076-n	vie:lemma	xacxô	
04141076-n	vie:lemma	xắc	
04141076-n	vie:lemma	xô	
04141327-n	vie:lemma	vỏ	
04141327-n	vie:lemma	bao	
04141327-n	vie:lemma	kiếm	
04143897-n	vie:lemma	khăn	
04143897-n	vie:lemma	choàng	
04143897-n	vie:lemma	cổ	
04148054-n	vie:lemma	kéo	
04153751-n	vie:lemma	ốc	
04153751-n	vie:lemma	vít	
04154565-n	vie:lemma	chìa	
04154565-n	vie:lemma	vít	
04159058-n	vie:lemma	ấn	
04159058-n	vie:lemma	chương	
04159058-n	vie:lemma	印章	
04159058-n	vie:lemma	triện	
04159058-n	vie:lemma	篆	
04166553-n	vie:lemma	làm	
04166553-n	vie:lemma	dịu	
04176528-n	vie:lemma	máy	
04176528-n	vie:lemma	thu	
04176528-n	vie:lemma	thanh	
04194289-n	vie:lemma	tàu	
04194289-n	vie:lemma	thuỷ	
04194289-n	vie:lemma	tàu	
04197391-n	vie:lemma	áo	
04197391-n	vie:lemma	sơ	
04197391-n	vie:lemma	mi	
04199027-n	vie:lemma	giày	
04199027-n	vie:lemma	hài	
04200637-n	vie:lemma	dây	
04200637-n	vie:lemma	giày	
04202417-n	vie:lemma	cửa	
04202417-n	vie:lemma	hàng	
04208210-n	vie:lemma	cái	
04208210-n	vie:lemma	mai	
04212282-n	vie:lemma	quả	
04212282-n	vie:lemma	cầu	
04212282-n	vie:lemma	lông	
04213353-n	vie:lemma	liềm	
04215402-n	vie:lemma	vỉa	
04215402-n	vie:lemma	hè	
04219424-n	vie:lemma	vải	
04219424-n	vie:lemma	lụa	
04230808-n	vie:lemma	váy	
04233124-n	vie:lemma	nhà	
04233124-n	vie:lemma	chọc	
04233124-n	vie:lemma	trời	
04238321-n	vie:lemma	khoá	
04238321-n	vie:lemma	kéo	
04240097-n	vie:lemma	súng	
04240097-n	vie:lemma	cao	
04240097-n	vie:lemma	su	
04251983-n	vie:lemma	người	
04251983-n	vie:lemma	tuyết	
04253437-n	vie:lemma	xà	
04253437-n	vie:lemma	phòng	
04254009-n	vie:lemma	hộp	
04254009-n	vie:lemma	đựng	
04254009-n	vie:lemma	xà	
04254009-n	vie:lemma	phòng	
04254777-n	vie:lemma	vớ	
04254777-n	vie:lemma	tất	
04254777-n	vie:lemma	bít	
04254777-n	vie:lemma	tất	
04256520-n	vie:lemma	ghế	
04256520-n	vie:lemma	xô-fa	
04256520-n	vie:lemma	đi	
04256520-n	vie:lemma	văng	
04266014-n	vie:lemma	tàu	
04266014-n	vie:lemma	con	
04266014-n	vie:lemma	thoi	
04266162-n	vie:lemma	trạm	
04266162-n	vie:lemma	không	
04266162-n	vie:lemma	gian	
04266162-n	vie:lemma	站空間	
04266486-n	vie:lemma	xẻng	
04266486-n	vie:lemma	xuồng	
04269270-n	vie:lemma	bugi	
04269270-n	vie:lemma	bougie	
04272054-n	vie:lemma	kính	
04272054-n	vie:lemma	mắt	
04272054-n	vie:lemma	kính	
04274807-n	vie:lemma	nhân	
04274807-n	vie:lemma	sư	
04284002-n	vie:lemma	thìa	
04288272-n	vie:lemma	lò	
04288272-n	vie:lemma	xo	
04290615-n	vie:lemma	vệ	
04290615-n	vie:lemma	tinh	
04290615-n	vie:lemma	nhân	
04290615-n	vie:lemma	tạo	
04290615-n	vie:lemma	sputnik	
04296562-n	vie:lemma	vũ	
04296562-n	vie:lemma	đài	
04296562-n	vie:lemma	舞臺	
04298308-n	vie:lemma	cầu	
04298308-n	vie:lemma	thang	
04306080-n	vie:lemma	nhà	
04306080-n	vie:lemma	ga	
04306847-n	vie:lemma	tượng	
04310157-n	vie:lemma	máy	
04310157-n	vie:lemma	lu	
04313503-n	vie:lemma	tay	
04313503-n	vie:lemma	lái	
04317175-n	vie:lemma	ống	
04317175-n	vie:lemma	nghe	
04320973-n	vie:lemma	bàn	
04320973-n	vie:lemma	đạp	
04320973-n	vie:lemma	ở	
04320973-n	vie:lemma	yên	
04320973-n	vie:lemma	ngựa	
04323026-n	vie:lemma	sàn	
04323026-n	vie:lemma	giao	
04323026-n	vie:lemma	dịch	
04323026-n	vie:lemma	chứng	
04323026-n	vie:lemma	khoán	
04330267-n	vie:lemma	bếp	
04330267-n	vie:lemma	lò	
04330267-n	vie:lemma	cái	
04330267-n	vie:lemma	lò	
04334599-n	vie:lemma	đường	
04334599-n	vie:lemma	đường	
04334599-n	vie:lemma	phố	
04334599-n	vie:lemma	phố	
04335435-n	vie:lemma	tàu	
04335435-n	vie:lemma	điện	
04347754-n	vie:lemma	tàu	
04347754-n	vie:lemma	ngầm	
04356056-n	vie:lemma	kính	
04356056-n	vie:lemma	râm	
04356925-n	vie:lemma	nhà	
04356925-n	vie:lemma	tắm	
04356925-n	vie:lemma	nắng	
04367480-n	vie:lemma	cán	
04367480-n	vie:lemma	lau	
04367480-n	vie:lemma	nhà	
04371225-n	vie:lemma	hồ	
04371225-n	vie:lemma	bơi	
04371563-n	vie:lemma	quần	
04371563-n	vie:lemma	áo	
04371563-n	vie:lemma	bơi	
04371563-n	vie:lemma	đồ	
04371563-n	vie:lemma	bơi	
04371563-n	vie:lemma	đồ	
04371563-n	vie:lemma	tắm	
04371563-n	vie:lemma	trang	
04371563-n	vie:lemma	phục	
04371563-n	vie:lemma	bơi	
04372370-n	vie:lemma	ngắt	
04372370-n	vie:lemma	điện	
04372370-n	vie:lemma	công	
04372370-n	vie:lemma	tắc	
04373894-n	vie:lemma	gươm	
04373894-n	vie:lemma	kiếm	
04374735-n	vie:lemma	giáo	
04374735-n	vie:lemma	đường	
04374735-n	vie:lemma	Do	
04374735-n	vie:lemma	thái	
04376400-n	vie:lemma	bộ	
04376400-n	vie:lemma	tổng	
04376400-n	vie:lemma	hợp	
04376876-n	vie:lemma	ống	
04376876-n	vie:lemma	chích	
04376876-n	vie:lemma	bơm	
04376876-n	vie:lemma	tiêm	
04376876-n	vie:lemma	ống	
04376876-n	vie:lemma	tiêm	
04377057-n	vie:lemma	hệ	
04377057-n	vie:lemma	thống	
04377057-n	vie:lemma	系統	
04379243-n	vie:lemma	bàn	
04381073-n	vie:lemma	muỗng	
04381073-n	vie:lemma	canh	
04387400-n	vie:lemma	trống	
04387400-n	vie:lemma	lục	
04387400-n	vie:lemma	lạc	
04388162-n	vie:lemma	tăm-bông	
04388162-n	vie:lemma	nút	
04388162-n	vie:lemma	gạc	
04389033-n	vie:lemma	xe	
04389033-n	vie:lemma	tăng	
04395651-n	vie:lemma	xăm	
04395651-n	vie:lemma	hiệu	
04395651-n	vie:lemma	trống	
04395651-n	vie:lemma	tập	
04395651-n	vie:lemma	trung	
04395651-n	vie:lemma	buổi	
04395651-n	vie:lemma	tối	
04397452-n	vie:lemma	chén	
04397452-n	vie:lemma	uống	
04397452-n	vie:lemma	trà	
04397768-n	vie:lemma	ấm	
04397768-n	vie:lemma	đun	
04397768-n	vie:lemma	nước	
04398044-n	vie:lemma	ấm	
04398044-n	vie:lemma	trà	
04398044-n	vie:lemma	ấm	
04398044-n	vie:lemma	pha	
04398044-n	vie:lemma	trà	
04400499-n	vie:lemma	điện	
04400499-n	vie:lemma	báo	
04400499-n	vie:lemma	電報	
04401088-n	vie:lemma	điện	
04401088-n	vie:lemma	thoại	
04401088-n	vie:lemma	電話	
04401088-n	vie:lemma	dây	
04401088-n	vie:lemma	nói	
04404997-n	vie:lemma	máy	
04404997-n	vie:lemma	quay	
04404997-n	vie:lemma	phim	
04404997-n	vie:lemma	máy	
04404997-n	vie:lemma	quay	
04405907-n	vie:lemma	máy	
04405907-n	vie:lemma	truyền	
04405907-n	vie:lemma	hình	
04405907-n	vie:lemma	TV	
04405907-n	vie:lemma	tivi	
04406350-n	vie:lemma	đài	
04406350-n	vie:lemma	truyền	
04406350-n	vie:lemma	hình	
04407435-n	vie:lemma	đền	
04411264-n	vie:lemma	lều	
04417809-n	vie:lemma	nhà	
04417809-n	vie:lemma	hát	
04421872-n	vie:lemma	nhiệt	
04421872-n	vie:lemma	kế	
04423845-n	vie:lemma	cái	
04423845-n	vie:lemma	đê	
04424418-n	vie:lemma	vật	
04424418-n	vie:lemma	điều	
04426788-n	vie:lemma	sợi	
04440749-n	vie:lemma	vỏ	
04442312-n	vie:lemma	máy	
04442312-n	vie:lemma	nướng	
04442312-n	vie:lemma	bánh	
04442312-n	vie:lemma	mì	
04442831-n	vie:lemma	thuốc	
04442831-n	vie:lemma	lá	
04446276-n	vie:lemma	nhà	
04446276-n	vie:lemma	vệ	
04446276-n	vie:lemma	sinh	
04446276-n	vie:lemma	phòng	
04446276-n	vie:lemma	vệ	
04446276-n	vie:lemma	sinh	
04452848-n	vie:lemma	răng	
04453156-n	vie:lemma	bàn	
04453156-n	vie:lemma	chải	
04453156-n	vie:lemma	đánh	
04453156-n	vie:lemma	răng	
04453298-n	vie:lemma	kem	
04453298-n	vie:lemma	đánh	
04453298-n	vie:lemma	răng	
04453390-n	vie:lemma	tăm	
04453390-n	vie:lemma	tăm	
04453390-n	vie:lemma	xỉa	
04453390-n	vie:lemma	răng	
04454240-n	vie:lemma	Đánh	
04454240-n	vie:lemma	quay	
04456472-n	vie:lemma	ngư	
04456472-n	vie:lemma	lôi	
04456472-n	vie:lemma	魚雷	
04458409-n	vie:lemma	tô-tem	
04458409-n	vie:lemma	vật	
04458409-n	vie:lemma	tổ	
04459362-n	vie:lemma	khăn	
04468005-n	vie:lemma	xe	
04468005-n	vie:lemma	lửa	
04468005-n	vie:lemma	tàu	
04468005-n	vie:lemma	hỏa	
04482393-n	vie:lemma	xe	
04482393-n	vie:lemma	ba	
04482393-n	vie:lemma	bánh	
04486054-n	vie:lemma	khải	
04486054-n	vie:lemma	hoàn	
04486054-n	vie:lemma	môn	
04487996-n	vie:lemma	chiếc	
04487996-n	vie:lemma	cúp	
04490091-n	vie:lemma	xe	
04490091-n	vie:lemma	tải	
04497962-n	vie:lemma	đường	
04497962-n	vie:lemma	hầm	
04509592-n	vie:lemma	đồng	
04509592-n	vie:lemma	phục	
04511002-n	vie:lemma	trường	
04511002-n	vie:lemma	đại	
04511002-n	vie:lemma	học	
04511002-n	vie:lemma	đại	
04511002-n	vie:lemma	học	
04511002-n	vie:lemma	大學	
04517535-n	vie:lemma	vacxin	
04525038-n	vie:lemma	nhung	
04526964-n	vie:lemma	thông	
04526964-n	vie:lemma	gió	
04531873-n	vie:lemma	áo	
04531873-n	vie:lemma	gi	
04531873-n	vie:lemma	lê	
04533700-n	vie:lemma	máy	
04533700-n	vie:lemma	chiếu	
04533700-n	vie:lemma	phim	
04535252-n	vie:lemma	biệt	
04535252-n	vie:lemma	thự	
04536866-n	vie:lemma	vĩ	
04536866-n	vie:lemma	cầm	
04548362-n	vie:lemma	ví	
04548362-n	vie:lemma	tiền	
04552696-n	vie:lemma	tàu	
04552696-n	vie:lemma	chiến	
04555897-n	vie:lemma	đồng	
04555897-n	vie:lemma	hồ	
04555897-n	vie:lemma	cái	
04555897-n	vie:lemma	đồng	
04555897-n	vie:lemma	hồ	
04565375-n	vie:lemma	vũ	
04565375-n	vie:lemma	khí	
04565375-n	vie:lemma	武器	
04565375-n	vie:lemma	binh	
04565375-n	vie:lemma	khí	
04565375-n	vie:lemma	兵器	
04566257-n	vie:lemma	vũ	
04566257-n	vie:lemma	khí	
04572344-n	vie:lemma	cũng	
04574999-n	vie:lemma	bánh	
04574999-n	vie:lemma	xe	
04575723-n	vie:lemma	bánh	
04575723-n	vie:lemma	lái	
04576002-n	vie:lemma	xe	
04576002-n	vie:lemma	lăn	
04577769-n	vie:lemma	roi	
04579667-n	vie:lemma	còi	
04579667-n	vie:lemma	tiếng	
04579667-n	vie:lemma	hót	
04579667-n	vie:lemma	tiếng	
04579667-n	vie:lemma	huýt	
04580777-n	vie:lemma	Nhà	
04580777-n	vie:lemma	Trắng	
04581595-n	vie:lemma	nhà	
04581595-n	vie:lemma	thổ	
04581595-n	vie:lemma	nhà	
04581595-n	vie:lemma	chứa	
04584207-n	vie:lemma	bộ	
04584207-n	vie:lemma	tóc	
04584207-n	vie:lemma	giả	
04587648-n	vie:lemma	cửa	
04587648-n	vie:lemma	sổ	
04589745-n	vie:lemma	kính	
04589745-n	vie:lemma	cửa	
04589745-n	vie:lemma	sổ	
04592741-n	vie:lemma	cánh	
04596742-n	vie:lemma	cái	
04596742-n	vie:lemma	xanh	
04596742-n	vie:lemma	chảo	
04610013-n	vie:lemma	du	
04610013-n	vie:lemma	thuyền	
04610879-n	vie:lemma	sân	
04616059-n	vie:lemma	đặc	
04616059-n	vie:lemma	điểm	
04616059-n	vie:lemma	đặc	
04616059-n	vie:lemma	tính	
04617562-n	vie:lemma	tính	
04617562-n	vie:lemma	cách	
04617562-n	vie:lemma	性格	
04632157-n	vie:lemma	sinh	
04632157-n	vie:lemma	hoạt	
04662390-n	vie:lemma	sự	
04662390-n	vie:lemma	tuyệt	
04662390-n	vie:lemma	vọng	
04686935-n	vie:lemma	hấp	
04686935-n	vie:lemma	dẫn	
04686935-n	vie:lemma	tình	
04686935-n	vie:lemma	dục	
04726724-n	vie:lemma	tính	
04726724-n	vie:lemma	bản	
04726724-n	vie:lemma	chất	
04726724-n	vie:lemma	bản	
04726724-n	vie:lemma	tính	
04747899-n	vie:lemma	bình	
04747899-n	vie:lemma	đẳng	
04847482-n	vie:lemma	đức	
04847482-n	vie:lemma	德	
04849759-n	vie:lemma	bình	
04849759-n	vie:lemma	dị	
04849759-n	vie:lemma	tính	
04849759-n	vie:lemma	giản	
04849759-n	vie:lemma	dị	
04849759-n	vie:lemma	trinh	
04849759-n	vie:lemma	tiết	
04857083-n	vie:lemma	can	
04857083-n	vie:lemma	đảm	
04868148-n	vie:lemma	đạo	
04868148-n	vie:lemma	đức	
04868148-n	vie:lemma	giả	
04878646-n	vie:lemma	chủ	
04878646-n	vie:lemma	nghĩa	
04878646-n	vie:lemma	Sô	
04878646-n	vie:lemma	vanh	
04878646-n	vie:lemma	chủ	
04878646-n	vie:lemma	nghĩa	
04878646-n	vie:lemma	Sôvanh	
04886881-n	vie:lemma	lòng	
04886881-n	vie:lemma	tự	
04886881-n	vie:lemma	trọng	
04912732-n	vie:lemma	lịch	
04912732-n	vie:lemma	sự	
04912732-n	vie:lemma	nhã	
04912732-n	vie:lemma	nhặn	
04921417-n	vie:lemma	cơ	
04921417-n	vie:lemma	sở	
04921417-n	vie:lemma	nền	
04924103-n	vie:lemma	tuổi	
04927890-n	vie:lemma	sống	
04927890-n	vie:lemma	lâu	
04954920-n	vie:lemma	ánh	
04956594-n	vie:lemma	màu	
04956594-n	vie:lemma	màu	
04956594-n	vie:lemma	sắc	
04959230-n	vie:lemma	sắc	
04960729-n	vie:lemma	bạch	
04962784-n	vie:lemma	mầu	
04962784-n	vie:lemma	đỏ	
04962784-n	vie:lemma	hồng	
04964443-n	vie:lemma	màu	
04964443-n	vie:lemma	đỏ	
04964443-n	vie:lemma	anh	
04964443-n	vie:lemma	đào	
04964586-n	vie:lemma	màu	
04964586-n	vie:lemma	đỏ	
04964586-n	vie:lemma	sậm	
04964878-n	vie:lemma	hạt	
04964878-n	vie:lemma	dẻ	
04964977-n	vie:lemma	đĩ	
04965661-n	vie:lemma	hòang	
04965661-n	vie:lemma	vàng	
04966543-n	vie:lemma	màu	
04966543-n	vie:lemma	chanh	
04966841-n	vie:lemma	thổ	
04966841-n	vie:lemma	hoàng	
04967191-n	vie:lemma	lục	
04968619-n	vie:lemma	xanh	
04968619-n	vie:lemma	lơ	
04969703-n	vie:lemma	màu	
04969703-n	vie:lemma	xanh	
04969703-n	vie:lemma	nước	
04969703-n	vie:lemma	biển	
04970059-n	vie:lemma	tía	
04970758-n	vie:lemma	tím	
04973291-n	vie:lemma	be	
04976952-n	vie:lemma	nước	
04976952-n	vie:lemma	da	
04976952-n	vie:lemma	màu	
04976952-n	vie:lemma	da	
04980008-n	vie:lemma	mùi	
04981139-n	vie:lemma	âm	
04981139-n	vie:lemma	thanh	
04981139-n	vie:lemma	音聲	
04981139-n	vie:lemma	âm	
04981139-n	vie:lemma	音	
04986883-n	vie:lemma	thanh	
04986883-n	vie:lemma	điệu	
04986883-n	vie:lemma	聲調	
04986883-n	vie:lemma	giọng	
04986883-n	vie:lemma	thanh	
05000342-n	vie:lemma	béo	
05000342-n	vie:lemma	phì	
05002352-n	vie:lemma	chiều	
05002352-n	vie:lemma	cao	
05006898-n	vie:lemma	giới	
05006898-n	vie:lemma	tính	
05011790-n	vie:lemma	nhiệt	
05011790-n	vie:lemma	độ	
05011790-n	vie:lemma	ôn	
05011790-n	vie:lemma	độ	
05014879-n	vie:lemma	nhiệt	
05014879-n	vie:lemma	độ	
05014879-n	vie:lemma	cơ	
05014879-n	vie:lemma	thể	
05014879-n	vie:lemma	熱度	
05014879-n	vie:lemma	肌體	
05026843-n	vie:lemma	trọng	
05026843-n	vie:lemma	lượng	
05026843-n	vie:lemma	重量	
05053215-n	vie:lemma	sự	
05053215-n	vie:lemma	thường	
05053215-n	vie:lemma	xuyên	
05076472-n	vie:lemma	thành	
05076472-n	vie:lemma	phần	
05087894-n	vie:lemma	cộng	
05087894-n	vie:lemma	đồng	
05115040-n	vie:lemma	phong	
05115040-n	vie:lemma	phú	
05121418-n	vie:lemma	số	
05133107-n	vie:lemma	chiều	
05133107-n	vie:lemma	dài	
05134547-n	vie:lemma	độ	
05134547-n	vie:lemma	sâu	
05136150-n	vie:lemma	chiều	
05136150-n	vie:lemma	rộng	
05137165-n	vie:lemma	độ	
05137165-n	vie:lemma	cao	
05145118-n	vie:lemma	giá	
05145118-n	vie:lemma	giá	
05145118-n	vie:lemma	cả	
05157574-n	vie:lemma	lợi	
05157574-n	vie:lemma	ích	
05157574-n	vie:lemma	利益	
05157574-n	vie:lemma	lợi	
05158296-n	vie:lemma	đặc	
05158296-n	vie:lemma	quyền	
05174653-n	vie:lemma	quyền	
05174653-n	vie:lemma	lợi	
05174653-n	vie:lemma	quyền	
05176846-n	vie:lemma	nhân	
05176846-n	vie:lemma	quyền	
05183624-n	vie:lemma	tự	
05183624-n	vie:lemma	do	
05183624-n	vie:lemma	tín	
05183624-n	vie:lemma	ngưỡng	
05183624-n	vie:lemma	tự	
05183624-n	vie:lemma	do	
05183624-n	vie:lemma	tôn	
05183624-n	vie:lemma	giáo	
05183779-n	vie:lemma	tự	
05183779-n	vie:lemma	do	
05183779-n	vie:lemma	ngôn	
05183779-n	vie:lemma	luận	
05200169-n	vie:lemma	năng	
05200169-n	vie:lemma	lực	
05200169-n	vie:lemma	能力	
05216365-n	vie:lemma	thân	
05216365-n	vie:lemma	thể	
05216365-n	vie:lemma	身體	
05218630-n	vie:lemma	xác	
05218630-n	vie:lemma	ướp	
05238036-n	vie:lemma	vỏ	
05239808-n	vie:lemma	biểu	
05239808-n	vie:lemma	mô	
05254795-n	vie:lemma	tóc	
05261566-n	vie:lemma	râu	
05261566-n	vie:lemma	鬍	
05262185-n	vie:lemma	râu	
05262185-n	vie:lemma	mép	
05269901-n	vie:lemma	xương	
05274247-n	vie:lemma	xương	
05274247-n	vie:lemma	cụt	
05279026-n	vie:lemma	xương	
05279026-n	vie:lemma	sườn	
05286536-n	vie:lemma	mô	
05286536-n	vie:lemma	liên	
05286536-n	vie:lemma	kết	
05289297-n	vie:lemma	cơ	
05289297-n	vie:lemma	bắp	
05289297-n	vie:lemma	thịt	
05296253-n	vie:lemma	gân	
05296253-n	vie:lemma	腱	
05297523-n	vie:lemma	khí	
05297523-n	vie:lemma	quan	
05297523-n	vie:lemma	器官	
05301072-n	vie:lemma	lưỡi	
05302499-n	vie:lemma	miệng	
05302499-n	vie:lemma	mồm	
05304932-n	vie:lemma	lợi	
05304932-n	vie:lemma	nướu	
05304932-n	vie:lemma	răng	
05305806-n	vie:lemma	môi	
05307773-n	vie:lemma	răng	
05307773-n	vie:lemma	hàm	
05308310-n	vie:lemma	chân	
05308310-n	vie:lemma	răng	
05311054-n	vie:lemma	mắt	
05313535-n	vie:lemma	lông	
05313535-n	vie:lemma	mày	
05313822-n	vie:lemma	mi	
05313822-n	vie:lemma	mắt	
05314919-n	vie:lemma	lông	
05314919-n	vie:lemma	mi	
05316025-n	vie:lemma	cầu	
05316025-n	vie:lemma	mắt	
05316025-n	vie:lemma	nhãn	
05316025-n	vie:lemma	cầu	
05318831-n	vie:lemma	màng	
05318831-n	vie:lemma	nhự	
05320899-n	vie:lemma	tai	
05327767-n	vie:lemma	tuyến	
05327767-n	vie:lemma	腺	
05331404-n	vie:lemma	nhiếp	
05331404-n	vie:lemma	hộ	
05331404-n	vie:lemma	tuyến	
05331404-n	vie:lemma	tuyến	
05331404-n	vie:lemma	tiền	
05331404-n	vie:lemma	liệt	
05332802-n	vie:lemma	thận	
05332802-n	vie:lemma	腎	
05333467-n	vie:lemma	lách	
05335971-n	vie:lemma	động	
05335971-n	vie:lemma	mạch	
05335971-n	vie:lemma	chủ	
05335971-n	vie:lemma	đại	
05335971-n	vie:lemma	động	
05335971-n	vie:lemma	mạch	
05335971-n	vie:lemma	大動脈	
05368594-n	vie:lemma	quy	
05368594-n	vie:lemma	đầu	
05368594-n	vie:lemma	龜頭	
05385161-n	vie:lemma	bao	
05385161-n	vie:lemma	đựng	
05385161-n	vie:lemma	mật	
05385534-n	vie:lemma	gan	
05385534-n	vie:lemma	肝	
05387167-n	vie:lemma	tụy	
05387544-n	vie:lemma	phổi	
05388805-n	vie:lemma	trái	
05388805-n	vie:lemma	tim	
05395690-n	vie:lemma	dạ	
05395690-n	vie:lemma	dày	
05399356-n	vie:lemma	sữa	
05399356-n	vie:lemma	non	
05399847-n	vie:lemma	máu	
05399847-n	vie:lemma	huyết	
05399847-n	vie:lemma	血	
05403149-n	vie:lemma	huyết	
05403149-n	vie:lemma	thanh	
05403149-n	vie:lemma	血清	
05404336-n	vie:lemma	tinh	
05404336-n	vie:lemma	dịch	
05405324-n	vie:lemma	nước	
05405324-n	vie:lemma	mắt	
05405751-n	vie:lemma	mồ	
05405751-n	vie:lemma	hôi	
05410646-n	vie:lemma	insulin	
05415395-n	vie:lemma	nước	
05415395-n	vie:lemma	nhầy	
05415395-n	vie:lemma	niêm	
05415395-n	vie:lemma	dịch	
05415395-n	vie:lemma	粘液	
05416198-n	vie:lemma	nước	
05416198-n	vie:lemma	bọt	
05417472-n	vie:lemma	mủ	
05417975-n	vie:lemma	huyết	
05417975-n	vie:lemma	quản	
05417975-n	vie:lemma	血管	
05427739-n	vie:lemma	màng	
05427739-n	vie:lemma	bụng	
05430095-n	vie:lemma	hạch	
05430095-n	vie:lemma	bạch	
05430095-n	vie:lemma	huyết	
05430095-n	vie:lemma	hạch	
05430095-n	vie:lemma	lympho	
05431926-n	vie:lemma	hợp	
05431926-n	vie:lemma	tử	
05431926-n	vie:lemma	合子	
05442131-n	vie:lemma	chất	
05442131-n	vie:lemma	sinh	
05442131-n	vie:lemma	sắt	
05442131-n	vie:lemma	nhiểm	
05442131-n	vie:lemma	sắc	
05442131-n	vie:lemma	thể	
05445389-n	vie:lemma	ti	
05445389-n	vie:lemma	thể	
05454070-n	vie:lemma	hồng	
05454070-n	vie:lemma	cầu	
05457469-n	vie:lemma	tinh	
05457469-n	vie:lemma	trùng	
05457973-n	vie:lemma	trứng	
05465567-n	vie:lemma	tế	
05465567-n	vie:lemma	bào	
05465567-n	vie:lemma	thần	
05465567-n	vie:lemma	kinh	
05465567-n	vie:lemma	細胞神經	
05474346-n	vie:lemma	thần	
05474346-n	vie:lemma	kinh	
05474346-n	vie:lemma	神經	
05481095-n	vie:lemma	óc	
05481095-n	vie:lemma	não	
05485554-n	vie:lemma	thuộc	
05485554-n	vie:lemma	não	
05503705-n	vie:lemma	tuỷ	
05503705-n	vie:lemma	sống	
05512337-n	vie:lemma	bàng	
05512337-n	vie:lemma	quang	
05512337-n	vie:lemma	膀胱	
05512835-n	vie:lemma	ống	
05512835-n	vie:lemma	dẫn	
05512835-n	vie:lemma	đái	
05513020-n	vie:lemma	ống	
